Rec,Inf,UID,Name,Best Pos,Age,Club,Division,Mins,Tgls/90,Tcon/90,Gls,Goals Outside Box,Shot/90,xG/shot,Shot %,ShT/90,Shots Outside Box/90,Gls/90,xG/90,NP-xG/90,xG-OP,Conv %,Ast,Asts/90,Ps A/90,Pas %,xA/90,OP-KP/90,Ch C/90,Drb/90,Pr passes/90,OP-Crs A/90,OP-Cr %,Crs A/90,Cr C/A,Tck A,Tck R,Pres A/90,Pres C/90,Poss Won/90,Poss Lost/90,K Tck/90,Int/90,Clr/90,Blk/90,Shts Blckd/90,Aer A/90,Hdr %,K Hdrs/90,Sprints/90,Dist/90,Gl Mst,Fls,FA,Yel,Red,Wage,Transfer Value
- - -,,48036267,Alexis Claude-Maurice,AM (C),27,Augsburg,Bundesliga,"1,980",1.59,1.18,6,0,1.91,0.14,33%,0.64,1.14,0.27,0.26,0.26,0.31,14%,3,0.14,31.18,84%,0.14,0.82,0.45,1.41,2.5,1.64,30%,2.59,25%,63,75%,10.41,2.55,5.55,9.91,0,1.77,0.41,0.23,0.09,6.82,9%,0,9.64,13.0km,0,33,26,2,0,"£22,000 p/w",£7.2M - £9.2M
- - -,,53131647,Aron Dønnum,AM (R),28,Toulouse,Ligue 1 Uber Eats,"1,982",0.45,1.68,3,1,2,0.1,45%,0.91,1.09,0.14,0.2,0.2,-1.47,7%,1,0.05,33.97,87%,0.14,1.04,0.45,3.41,3.36,4.13,13%,5.45,14%,72,81%,12.9,3.59,7.17,13.49,0.09,2.95,0.91,0.36,0.09,3.77,29%,0.14,12.53,13.2km,0,53,34,15,0,"£11,500 p/w",£350K - £3.4M
- - -,,98029083,Haris Tabaković,ST (C),31,Gladbach,Bundesliga,"1,190",1.21,1.44,6,2,3.18,0.14,52%,1.66,0.3,0.45,0.46,0.46,-0.08,14%,2,0.15,23.52,81%,0.17,0.68,0.45,0.68,0.45,0.61,13%,0.61,12%,17,76%,5.45,0.83,4.31,7.64,0,0.91,0.3,0.08,0,13.31,44%,0.08,5.67,12.7km,0,18,14,0,0,"£22,000 p/w",£160K - £1.6M
- - -,,25053190,Roman Květ,M (C),28,FCV Dender,Jupiler Pro League,"2,596",1.35,1.28,5,2,1.42,0.08,37%,0.52,1.07,0.17,0.12,0.07,1.52,12%,7,0.24,52.9,85%,0.19,1.07,0.45,0.62,4.13,0.45,29%,3.54,30%,92,79%,11.51,2.81,10.19,10.19,0.1,1.56,0.97,0.49,0.38,5.69,73%,0.66,11.41,13.4km,0,31,10,4,0,£450 p/w,£170K - £1.7M
- - -,,16045742,Philipp Mwene,D (R),32,Mainz 05,Bundesliga,"1,998",1.31,1.22,1,0,0.68,0.09,33%,0.23,0.45,0.05,0.06,0.06,-0.35,7%,5,0.23,30.45,84%,0.25,1.89,0.45,2.61,3.87,8.06,15%,8.38,13%,96,85%,14.28,3.2,11.04,14.01,0.14,3.69,1.31,0.86,0.14,3.78,30%,0,19.59,14.5km,2,39,20,10,0,"£17,000 p/w",£240K - £2.4M
- - -,Wnt,85145148,Jonathan Ikoné,AM (R),28,Paris FC,Ligue 1 Uber Eats,"2,400",1.61,2.29,3,0,1.24,0.12,45%,0.56,0.56,0.11,0.15,0.15,-0.89,9%,6,0.22,32.7,77%,0.18,1.2,0.45,4.58,3.19,4.42,13%,5.36,9%,73,75%,13.09,3.82,8.62,15.64,0.07,2.7,0.94,0.26,0.11,5.4,36%,0.04,11.21,13.6km,1,9,50,1,0,"£21,000 p/w",£9.8M - £15M
- - -,,6601602,Moussa Djénépo,AM (L),27,Standard Liège,Jupiler Pro League,"1,208",1.04,1.27,2,0,1.42,0.1,42%,0.6,0.6,0.15,0.15,0.15,0.03,11%,2,0.15,31.22,86%,0.16,1.27,0.45,4.32,2.98,4.92,17%,5.66,18%,53,85%,15.94,4.84,7.75,13.26,0,2.38,0.67,0.22,0,6.03,17%,0,11.92,13.4km,0,15,22,2,0,"£38,000 p/w",£120K - £6M
- - -,Wnt,91144391,Niklas Schmidt,AM (C),28,Toulouse,Ligue 1 Uber Eats,"2,623",0.45,1.75,0,0,1.2,0.08,34%,0.41,0.82,-,0.1,0.1,-2.79,-,7,0.24,42.17,84%,0.18,1.27,0.45,1.17,2.2,0.65,10%,3.36,15%,84,75%,8.89,2.09,5.42,10.98,0.03,1.65,0.55,0.24,0.1,3.43,30%,0,6.9,13.0km,1,48,35,5,0,"£11,000 p/w",£220K - £2.2M
- - -,,85144804,Jérémy Petris,D (R),28,Charleroi,Jupiler Pro League,"2,222",1.09,1.42,1,0,0.45,0.1,45%,0.2,0.24,0.04,0.05,0.05,-0.15,9%,1,0.04,43.91,83%,0.17,1.34,0.45,2.96,4.29,7.37,16%,7.37,16%,118,85%,14.91,3.73,12.15,17.3,0.12,3.12,1.9,0.49,0.16,5.51,56%,0.36,12.76,13.9km,0,40,42,4,1,£975 p/w,£150K - £1.5M
- - -,,49049339,Lassine Sinayoko,AM (R),26,Auxerre,Ligue 1 Uber Eats,"1,622",1.17,1.39,5,0,2.55,0.11,39%,1,0.72,0.28,0.29,0.29,-0.27,11%,3,0.17,28.35,81%,0.15,1.17,0.44,2.27,2.05,3.27,12%,3.27,11%,62,79%,11.93,2.05,6.38,11.15,0,2.05,0.72,0.22,0.06,11.15,30%,0.06,10.21,13.3km,0,18,37,1,0,"£13,000 p/w",£250K - £2.5M
- - -,,91185080,Jan Thielmann,ST (C),24,FC Köln,Bundesliga,"1,836",0.78,0.88,2,0,1.37,0.12,39%,0.54,0.69,0.1,0.17,0.17,-1.41,7%,4,0.2,39.17,84%,0.17,1.18,0.44,3.33,2.5,4.95,17%,5.64,15%,73,90%,13.58,3.63,7.99,14.8,0,2.35,0.64,0.34,0.15,5.39,34%,0.05,14.51,13.6km,0,40,25,8,0,"£20,500 p/w",Not for Sale
- - -,Inj,2000064264,Taiga Hata,M (L),24,Sint-Truiden,Jupiler Pro League,"2,062",1.61,1.4,1,1,0.7,0.06,25%,0.17,0.44,0.04,0.04,0.04,0.01,6%,5,0.22,38.98,88%,0.21,1.13,0.44,1.05,4.8,3.27,20%,3.58,20%,97,82%,9.82,2.53,13.18,10.17,0.09,2.62,1.4,0.57,0.04,4.8,57%,0.09,14.71,13.6km,1,24,6,8,0,"£1,600 p/w",£190K - £1.9M
- - -,Wnt,91179959,Daniel-Kofi Kyereh,AM (C),30,Freiburg,Bundesliga,"1,858",1.7,1.02,6,0,1.6,0.18,45%,0.73,0.58,0.29,0.29,0.29,0,18%,3,0.15,31.39,82%,0.12,0.78,0.44,1.74,2.62,1.11,23%,2.08,17%,52,81%,9.2,2.23,4.89,9.16,0.05,1.65,0.39,0.1,0.05,3.78,26%,0.05,9.3,13.6km,0,13,36,0,0,"£27,500 p/w",£3M
- - -,,2000107079,Malick Fofana,AM (L),21,Lyon,Ligue 1 Uber Eats,"2,685",1.24,1.14,2,0,0.94,0.14,29%,0.27,0.37,0.07,0.13,0.13,-2.01,7%,5,0.17,38.28,85%,0.17,1.27,0.44,3.62,2.72,3.39,14%,3.39,13%,76,83%,14.15,3.85,5.93,14.15,0.07,1.61,0.4,0.54,0.1,3.25,26%,0,9.89,13.2km,0,30,60,3,0,"£16,500 p/w",£12.5M - £16M
- - -,,45092815,Junya Ito,AM (R),33,Genk,Jupiler Pro League,"2,689",1.54,1.14,10,2,1.97,0.13,49%,0.97,1.04,0.33,0.26,0.26,2.17,17%,5,0.17,37.08,87%,0.17,1.17,0.44,3.01,2.28,2.84,12%,4.59,10%,95,83%,11.55,3.11,7.43,11.51,0.03,2.51,0.47,0.23,0.1,5.76,21%,0.03,11.04,13.2km,0,42,84,4,1,"£23,000 p/w",Not for Sale
- - -,,85145396,Mahdi Camara,M (C),27,Rennes,Ligue 1 Uber Eats,"1,035",1.22,1.04,0,0,0.78,0.09,22%,0.17,0.52,-,0.07,0.07,-0.78,-,1,0.09,85.39,90%,0.15,0.87,0.43,1.3,9.04,0.26,75%,0.35,66%,30,73%,14.26,3.48,7.65,8.96,0.17,1.65,0.17,0.26,0.26,2.09,33%,0,9.39,14.1km,0,22,6,3,0,"£6,000 p/w",£650K - £9.8M
- - -,Wnt,95040947,Oladapo Afolayan,AM (L),28,St Pauli,Bundesliga,"1,456",0.99,2.04,0,0,1.17,0.1,47%,0.56,0.49,-,0.11,0.11,-1.83,-,1,0.06,26.33,79%,0.13,1.42,0.43,1.85,3.34,3.96,17%,4.82,18%,74,84%,14.84,3.77,8.84,13.48,0,2.23,0.99,0.49,0.06,6.06,24%,0,15.52,13.5km,0,23,35,5,0,"£15,000 p/w",£110K - £1.1M
- - -,,85045209,Jonathan Clauss,D (R),33,Nice,Ligue 1 Uber Eats,"2,920",1.36,1.48,0,0,1.11,0.09,31%,0.34,0.83,-,0.1,0.1,-3.16,-,6,0.18,45.52,85%,0.23,1.36,0.43,2.16,5.18,4.87,13%,10.05,12%,145,88%,10.76,2.87,11.31,14.73,0.06,2.68,0.96,0.59,0.18,4.19,38%,0.18,15.13,14.1km,1,49,23,7,1,"£63,000 p/w",Not for Sale
- - -,,61094109,Dire Mebude,AM (R),22,Westerlo,Jupiler Pro League,"1,044",1.12,1.29,1,0,1.12,0.12,31%,0.34,0.34,0.09,0.14,0.14,-0.62,8%,4,0.34,42.16,87%,0.19,1.29,0.43,5.6,3.1,5.43,14%,5.43,14%,24,88%,12.59,2.67,5.86,14.74,0,1.55,0.95,0.26,0,4.83,27%,0.09,10,13.6km,0,12,19,0,0,"£2,600 p/w",£475K - £1.4M
- - -,,2000072641,Jakob Napoleon Romsaas,AM (R),22,Charleroi,Jupiler Pro League,"2,091",0.86,1.42,0,0,1.03,0.13,42%,0.43,0.39,-,0.13,0.13,-3.03,-,7,0.3,39.47,85%,0.17,0.99,0.43,1.12,3.1,1.29,16%,4.18,20%,47,68%,9.9,2.24,4.73,10.29,0,0.86,0.47,0.3,0.22,5.38,34%,0.13,6.15,12.6km,0,25,29,3,1,"£1,100 p/w",£1.7M - £3.6M
- - -,,48036880,Odsonne Edouard,ST (C),28,Lens,Ligue 1 Uber Eats,"1,468",1.84,1.53,7,1,1.84,0.19,50%,0.92,0.49,0.43,0.36,0.21,1.17,23%,1,0.06,32.06,84%,0.12,1.04,0.43,2.51,1.53,1.47,25%,1.47,25%,32,88%,8.71,2.57,6.07,10.79,0,1.72,0.49,0.49,0.25,7.54,51%,0.06,9.75,13.0km,0,9,23,0,0,"£90,000 p/w",£9M - £14M
- - -,Inj,12088460,Kamory Doumbia,AM (C),23,Brest,Ligue 1 Uber Eats,"1,892",1.43,1,3,0,0.9,0.15,32%,0.29,0.38,0.14,0.13,0.13,0.23,16%,3,0.14,42.53,84%,0.21,1.14,0.43,2.09,3.76,1.09,22%,1.09,21%,53,77%,11.61,3.09,7.18,9.51,0,1.24,0.95,0.48,0.29,5.04,48%,0.24,10.08,13.1km,1,12,26,3,0,"£12,000 p/w",£230K - £4.4M
- - -,,49040397,Rafiki Saïd,AM (R),26,Standard Liège,Jupiler Pro League,"1,686",1.12,1.44,4,2,2.14,0.15,65%,1.39,0.96,0.21,0.32,0.32,-1.94,10%,3,0.16,26.21,85%,0.18,0.75,0.43,2.88,1.65,1.98,19%,4.86,10%,45,80%,12.44,3.52,6.51,11.8,0.05,1.65,0.69,0.16,0.11,7.74,27%,0,9.13,12.9km,0,32,35,5,0,"£1,700 p/w",£900K - £2M
- - -,Int,85030227,Loïc Nego,D (R),35,Le Havre,Ligue 1 Uber Eats,"1,906",0.9,1.65,1,0,0.8,0.08,18%,0.14,0.47,0.05,0.07,0.07,-0.42,6%,2,0.09,35.84,86%,0.17,1.46,0.42,3.12,3.59,3.4,19%,5.52,13%,89,75%,12.37,3.4,10.62,12.14,0.19,2.5,1.42,0.57,0.33,4.67,53%,0.09,12.99,13.2km,0,36,18,7,0,"£7,500 p/w",£10K - £100K
- - -,Int,27097478,Joakim Mæhle,WB (R),29,Wolfsburg,Bundesliga,"2,547",1.13,1.17,0,0,0.49,0.09,21%,0.11,0.21,-,0.05,0.05,-1.28,-,3,0.11,39.51,84%,0.13,1.1,0.42,3.96,4.59,3.89,15%,3.89,14%,113,89%,12.05,3.29,10.74,12.76,0.14,2.61,0.92,1.1,0.35,4.06,53%,0.14,17.42,13.6km,1,26,32,7,0,"£36,000 p/w",£11M - £16.5M
- - -,Lst,28084932,Glen Kamara,M (C),30,Rennes,Ligue 1 Uber Eats,"1,062",2.2,1.27,3,1,2.71,0.12,34%,0.93,1.78,0.25,0.32,0.25,-0.77,9%,2,0.17,83.47,91%,0.11,1.27,0.42,1.27,7.88,0.76,22%,0.76,22%,22,91%,11.69,3.9,8.47,9.75,0.08,2.03,0.42,0.25,0.25,2.88,50%,0,9.66,14.2km,0,3,9,0,0,"£25,000 p/w",£700K
- - -,,2000065479,Anton Kade,AM (L),22,Augsburg,Bundesliga,"1,700",1.8,1.32,3,1,1.96,0.1,41%,0.79,0.85,0.16,0.2,0.2,-0.78,8%,6,0.32,34.09,81%,0.16,1.43,0.42,2.91,3.76,4.39,16%,4.76,15%,78,86%,13.76,4.08,8.95,13.61,0,2.44,1.06,0.53,0.32,5.98,50%,0,12.92,13.7km,0,41,16,8,0,"£2,800 p/w",£190K - £1.9M
- - -,,92090401,Lion Lauberbach,ST (C),28,Mechelen,Jupiler Pro League,"2,764",1.43,0.88,13,0,2.6,0.12,61%,1.6,0.52,0.42,0.31,0.31,3.54,16%,5,0.16,38.29,85%,0.16,0.88,0.42,1.76,1.89,3.55,14%,3.58,12%,111,76%,12.11,3.19,7.72,12.41,0.03,2.08,0.88,0.49,0.1,9.38,50%,0.07,8.92,12.7km,0,48,43,7,0,"£5,500 p/w",£3.3M - £6.4M
- - -,Inj,2000048774,Alan Minda,AM (L),23,Cercle Brugge,Jupiler Pro League,"2,128",1.18,0.97,5,1,1.9,0.11,38%,0.72,1.18,0.21,0.21,0.21,0.14,11%,3,0.13,30.45,78%,0.2,1.4,0.42,3.47,2.24,3.81,13%,5.37,17%,76,83%,17.13,4.53,7.53,14.93,0,2.33,0.97,0.25,0.08,5.62,20%,0.08,14.3,13.7km,0,30,28,4,0,"£1,600 p/w",£450K - £4.5M
- - -,Wnt,2000019626,Matisse Samoise,M (R),24,Gent,Jupiler Pro League,"2,768",0.88,1.01,0,0,0.62,0.07,21%,0.13,0.36,-,0.04,0.04,-1.31,-,4,0.13,39.08,87%,0.15,1.01,0.42,2.47,3.28,8.1,5%,8.75,4%,124,82%,14.24,3.93,11.45,15.02,0.07,3.28,1.4,0.39,0.13,5.01,48%,0.2,14.66,13.4km,0,28,41,5,1,"£7,250 p/w",£120K - £1.2M
- - -,,49041157,Melvin Bard,D (L),25,Nice,Ligue 1 Uber Eats,"3,197",1.46,1.32,2,1,0.39,0.11,64%,0.25,0.17,0.06,0.04,0.04,0.46,14%,3,0.08,45.52,89%,0.14,1.04,0.42,2,4.76,4.59,13%,4.73,12%,158,75%,12.44,3.32,13.54,9.8,0.11,3.63,1.18,0.68,0.2,4.56,33%,0.23,13.29,13.5km,1,67,18,17,0,"£27,000 p/w",£7.2M - £8.4M
- - -,,18116329,Mario Stroeykens,AM (C),21,Anderlecht,Jupiler Pro League,"2,136",2.02,1.26,14,2,2.11,0.2,58%,1.22,0.72,0.59,0.42,0.42,4.02,28%,2,0.08,39.61,85%,0.13,1.01,0.42,1.35,2.28,1.1,15%,1.1,15%,38,74%,8.13,1.94,4.97,9.48,0,1.31,0.42,0.13,0.08,6.45,40%,0.04,8.3,13.6km,0,14,48,1,0,"£5,750 p/w",£6.4M - £7.6M
- - -,,92074815,Tim Skarke,ST (C),29,Union Berlin,Bundesliga,"1,713",1.73,1.16,1,1,1.31,0.09,44%,0.58,0.74,0.05,0.12,0.12,-1.23,4%,2,0.11,30.26,82%,0.15,0.79,0.42,2.68,2.73,4.31,17%,4.36,17%,75,79%,14.5,4.15,7.46,12.66,0.11,2,0.89,0.32,0.16,7.99,27%,0.05,13.4,13.9km,0,43,37,6,0,"£14,000 p/w",£230K - £2.3M
- - -,Wnt,48043489,Himad Abdelli,AM (C),26,Angers,Ligue 1 Uber Eats,"2,784",0.97,1.71,4,0,1.03,0.15,41%,0.42,0.36,0.13,0.15,0.15,-0.66,13%,6,0.19,40.99,83%,0.14,1,0.42,1.71,2.46,0.74,6%,2.59,13%,62,76%,10.99,2.42,6.3,14,0.1,2,0.78,0.19,0.1,6.76,41%,0.06,9.44,14.1km,2,16,58,2,0,"£2,000 p/w",£7M
- - -,Inj,49038936,Willem Geubbels,ST (C),24,Paris FC,Ligue 1 Uber Eats,"1,935",1.12,2.14,5,0,1.16,0.17,44%,0.51,0.42,0.23,0.2,0.16,0.77,20%,6,0.28,27.44,87%,0.13,0.93,0.42,1.81,1.02,1.12,17%,1.12,16%,35,77%,10,3.16,5.44,8.09,0,1.81,0.42,0.23,0.05,10.65,19%,0.05,4.84,12.4km,0,41,34,4,0,"£4,900 p/w",£250K - £2.6M
- - -,,2000156783,Ernest Nuamah,AM (R),22,Lyon,Ligue 1 Uber Eats,"1,936",0.98,1.12,3,0,1.53,0.12,30%,0.46,0.65,0.14,0.18,0.18,-0.81,9%,1,0.05,39.24,86%,0.18,1.39,0.42,4.09,3.67,2.84,17%,4.28,21%,67,82%,14.64,3.67,5.49,15.15,0.09,1.95,0.7,0.23,0.14,3.86,31%,0.05,8.93,12.9km,0,23,28,1,0,"£14,000 p/w",£17.5M - £22M
- - -,,49053847,Lilian Raolisoa,D (R),25,Angers,Ligue 1 Uber Eats,"1,082",1.25,1.25,0,0,0.08,0.02,0%,0,0.08,-,0,0,-0.02,-,0,-,39.76,90%,0.08,0.67,0.42,1.66,5.24,2.83,6%,2.91,5%,58,84%,8.98,1.83,12.14,9.07,0.17,2.74,1.41,0.42,0,3.83,41%,0.08,12.23,13.3km,0,16,5,2,0,"£3,000 p/w",£70K - £700K
- - -,,49055789,Lucas Bretelle,M (C),24,RAAL La Louvière,Jupiler Pro League,"1,305",1.03,1.66,0,0,1.03,0.05,33%,0.34,0.97,-,0.05,0.05,-0.73,-,1,0.07,57.72,85%,0.14,0.97,0.41,0.55,4,0.34,21%,2.28,20%,56,79%,15.24,4.41,9.31,10.28,0.07,1.93,1.24,0.48,0.41,2.83,17%,0.07,10,14.3km,0,15,5,2,0,£200 p/w,£55K - £170K
- - -,,50039251,Jim Allevinah,AM (R),31,Angers,Ligue 1 Uber Eats,"1,527",0.94,1.77,2,1,1.47,0.11,48%,0.71,0.53,0.12,0.16,0.16,-0.69,8%,2,0.12,32.48,85%,0.1,0.94,0.41,4.07,2.83,4.42,9%,4.77,8%,54,83%,13.32,3.71,7.96,12.91,0,2.65,1.18,0.29,0.06,5.3,38%,0.12,13.14,13.4km,0,19,26,4,0,"£17,000 p/w",Not for Sale
- - -,,85128018,Adrien Thomasson,M (C),32,Lens,Ligue 1 Uber Eats,"2,402",1.69,1.42,7,1,1.5,0.1,53%,0.79,0.86,0.26,0.15,0.15,3.01,18%,4,0.15,60.89,89%,0.12,0.86,0.41,0.9,4.8,0.3,12%,2.92,12%,63,78%,12.36,4.16,7.91,10.87,0.04,1.57,0.86,0.49,0.19,3,28%,0.04,11.35,14.3km,0,19,23,2,0,"£21,000 p/w",Not for Sale
- - -,,18110459,Jordi Liongola,AM (R),26,RAAL La Louvière,Jupiler Pro League,"1,101",0.65,1.23,3,0,1.14,0.17,43%,0.49,0.49,0.25,0.2,0.2,0.61,21%,1,0.08,29.75,85%,0.2,1.63,0.41,3.51,1.72,2.62,24%,3.35,31%,23,78%,7.93,1.72,4.41,12.26,0,0.82,0.98,0.41,0.25,5.8,14%,0,4.17,12.6km,0,13,14,1,0,£375 p/w,£3.5K - £35K
- - -,Int,31041522,Adam Hložek,ST (C),23,Hoffenheim,Bundesliga,"1,762",1.23,1.58,11,1,2.4,0.2,57%,1.38,0.36,0.56,0.49,0.49,1.4,23%,1,0.05,17.57,80%,0.09,0.92,0.41,1.63,0.66,1.38,22%,1.38,22%,31,84%,6.33,1.33,4.24,7.71,0.05,0.97,0.36,0.36,0.05,11.44,33%,0.05,7.25,12.5km,0,36,28,3,0,"£54,000 p/w",£9.6M - £15M
- - -,Lst,16045721,Marcel Sabitzer,M (C),32,Dortmund,Bundesliga,"1,327",1.7,0.95,4,1,2.85,0.06,40%,1.15,2.44,0.27,0.18,0.18,1.35,10%,3,0.2,55.48,87%,0.12,1.15,0.41,0.95,4.27,0.88,19%,1.83,15%,37,76%,11.12,3.32,6.78,10.31,0.07,1.29,0.41,0.14,0,2.65,36%,0.14,12.41,13.4km,0,22,20,4,0,"£145,000 p/w",£7.4M
- - -,,67190888,Aleix García,M (C),28,Bayer Leverkusen,Bundesliga,"1,552",1.28,1.33,1,1,0.81,0.05,43%,0.35,0.75,0.06,0.04,0.04,0.29,7%,4,0.23,52.42,84%,0.13,1.1,0.41,1.51,5.39,1.28,24%,3.65,13%,57,81%,11.54,3.36,8.41,11.42,0,2.03,0.93,0.23,0.12,3.02,31%,0,11.66,14.1km,0,18,17,3,0,"£91,000 p/w",£6.8M - £10.5M
- - -,,83320114,Flávio Nazinho,AM (L),22,Cercle Brugge,Jupiler Pro League,"2,227",1.41,1.05,1,0,0.81,0.07,35%,0.28,0.48,0.04,0.05,0.05,-0.31,5%,3,0.12,40.49,85%,0.14,1.21,0.4,1.5,5.94,3.76,16%,3.8,16%,99,84%,11.84,3.31,13.42,12.81,0.08,2.79,2.06,0.57,0.2,5.33,48%,0.08,10.67,13.4km,0,38,15,5,1,"£1,200 p/w",£275K - £2.8M
- - -,Wnt,12083698,Moussa N'Diaye,D (L),23,Anderlecht,Jupiler Pro League,"1,343",1.94,1.34,0,0,0.67,0.06,50%,0.34,0.54,-,0.04,0.04,-0.58,-,4,0.27,54.35,90%,0.12,1.21,0.4,1.41,7.77,3.89,17%,3.89,17%,41,85%,7.57,1.61,13.74,9.25,0.07,3.48,1.41,0.74,0.2,5.7,74%,0.34,12.13,13.3km,0,18,13,3,0,"£6,500 p/w",£500K - £5M
- - -,,45064891,Takumi Minamino,AM (L),31,Monaco,Ligue 1 Uber Eats,"1,120",2.01,0.88,3,0,1.45,0.19,39%,0.56,0.8,0.24,0.27,0.27,-0.38,17%,3,0.24,33.11,86%,0.1,1.37,0.4,1.04,1.61,0.48,33%,0.48,33%,24,67%,9.4,2.17,3.7,7.79,0,1.53,0.56,0.24,0.08,3.86,19%,0,12.78,13.7km,1,5,30,0,0,"£75,000 p/w",£6.4M - £7.8M
- - -,,49048369,Sékou Mara,ST (C),23,Strasbourg,Ligue 1 Uber Eats,"1,351",1.4,2.2,11,0,3.13,0.2,53%,1.67,0.6,0.73,0.63,0.63,1.56,23%,2,0.13,27.85,80%,0.13,0.73,0.4,1.73,1.73,1.67,12%,1.67,12%,23,91%,8.46,1.33,4.2,10.79,0,0.93,0.47,0.13,0.07,10.99,33%,0.07,8.86,13.3km,0,22,26,0,0,"£30,000 p/w",£6.2M - £7.2M
- - -,Wnt,2000111055,Afonso Moreira,AM (L),21,Lyon,Ligue 1 Uber Eats,"2,477",1.45,0.91,6,1,0.91,0.14,52%,0.47,0.33,0.22,0.12,0.12,2.58,24%,5,0.18,38.41,85%,0.13,1.2,0.4,3.45,3.56,3.42,19%,3.45,19%,69,88%,13.88,3.92,6.29,14.79,0.11,2.03,0.87,0.29,0.07,2.94,15%,0,10.57,13.0km,0,23,56,2,0,"£3,500 p/w",£5.2M - £6.6M
- - -,Wnt,49038961,Yann Gboho,AM (L),25,Toulouse,Ligue 1 Uber Eats,"1,353",0.6,1.6,0,0,0.93,0.1,43%,0.4,0.33,-,0.09,0.09,-1.34,-,1,0.07,37.18,83%,0.13,0.6,0.4,2.99,2.66,2.59,9%,3.13,2%,63,83%,13.57,2.99,6.45,12.71,0.07,2.2,1,0.33,0,5.45,33%,0.13,11.71,13.5km,0,11,20,2,0,"£7,500 p/w",£450K - £1.3M
- - -,,49061868,Elye Wahi,ST (C),23,Eintracht Frankfurt,Bundesliga,"2,936",1.66,1.32,10,1,1.99,0.16,45%,0.89,0.8,0.31,0.32,0.32,-0.39,15%,4,0.12,22.84,84%,0.11,0.86,0.4,1.93,1.29,1.44,8%,1.47,8%,71,77%,9.87,2.79,4.23,9.78,0,0.8,0.52,0.12,0.03,5.89,25%,0,6.62,12.6km,0,64,60,1,0,"£65,000 p/w",£22M - £33M
- - -,,18051194,Hans Vanaken,M (C),33,Club Brugge,Jupiler Pro League,"2,949",1.56,0.98,10,2,1.56,0.16,49%,0.76,0.55,0.31,0.24,0.22,1.98,20%,3,0.09,30.03,80%,0.11,0.82,0.4,0.98,2.41,0.61,12%,1.28,5%,59,66%,10.59,2.59,5.4,9.52,0,1.59,0.58,0.15,0.03,7.97,37%,0.03,10.65,13.5km,0,25,37,1,0,"£69,000 p/w",Not for Sale
- - -,Inj,2000209691,Abdoulaye Traoré,AM (L),22,Zulte Waregem,Jupiler Pro League,"1,821",0.74,1.19,0,0,0.69,0.11,29%,0.2,0.4,-,0.08,0.08,-1.52,-,3,0.15,33.21,86%,0.1,0.64,0.4,3.41,1.68,2.87,12%,2.97,10%,71,80%,14.93,3.86,6.47,13.64,0,1.88,0.89,0.54,0.05,5.14,38%,0,10.43,12.9km,0,29,28,1,0,"£3,000 p/w",£40K - £425K
- - -,,16195163,Marco Grüll,AM (L),27,Werder Bremen,Bundesliga,"1,823",0.94,1.48,3,0,1.28,0.1,38%,0.49,0.59,0.15,0.13,0.13,0.27,12%,6,0.3,26.66,82%,0.23,1.23,0.39,1.68,2.22,1.78,11%,2.72,5%,81,83%,15.21,5.04,6.81,12.19,0,1.78,0.59,0.25,0.1,7.85,26%,0.05,13.03,13.6km,0,32,25,5,0,"£18,000 p/w",£250K - £2.5M
- - -,Inj,85120748,Neal Maupay,ST (C),29,Marseille,Ligue 1 Uber Eats,"2,740",1.68,1.38,12,1,1.41,0.23,47%,0.66,0.53,0.39,0.32,0.32,2.23,28%,3,0.1,24.83,84%,0.09,0.85,0.39,1.18,2.17,0.56,24%,0.56,23%,58,59%,6.8,1.81,3.68,7.65,0,1.08,0.26,0.16,0.07,4.5,17%,0,7.75,12.3km,1,55,54,5,0,"£50,000 p/w",£600K - £8.6M
- - -,,2002042748,Paul Pogba,M (C),33,Monaco,Ligue 1 Uber Eats,"3,221",1.98,0.98,12,5,2.77,0.1,46%,1.29,1.93,0.34,0.27,0.21,2.19,12%,5,0.14,60.38,87%,0.15,1.98,0.39,1.37,6.71,0.61,28%,1.09,40%,65,66%,9.53,2.96,7.52,10.84,0.11,1.62,0.64,0.25,0.2,4.55,44%,0.2,13.47,13.6km,0,19,33,5,0,"£17,000 p/w",£4.7M - £7.2M
- - -,Wnt,49040378,Hianga'a Mbock,DM,26,Brest,Ligue 1 Uber Eats,"1,611",1.84,1.45,3,1,1.34,0.11,42%,0.56,0.61,0.17,0.15,0.15,0.34,13%,0,-,43.69,86%,0.14,1.23,0.39,0.34,4.19,0.34,26%,1.06,33%,49,80%,9.39,2.29,8.88,7.6,0.34,2.23,1.68,0.61,0.34,5.87,59%,0.17,11.17,13.3km,1,25,6,6,0,"£1,400 p/w",£170K - £1.7M
- - -,,12095036,Kader Yaméogo,D (R),21,Club Brugge,Jupiler Pro League,"1,151",1.41,0.47,0,0,0.47,0.04,33%,0.16,0.47,-,0.02,0.02,-0.22,-,1,0.08,40.74,82%,0.11,1.25,0.39,0.86,5.86,4.69,20%,4.69,20%,46,93%,7.98,1.88,13.61,12.98,0.31,2.5,1.25,0.31,0.08,5.24,42%,0.23,14.23,13.8km,1,14,4,1,0,"£1,600 p/w",£150K - £1.5M
