Rec,Inf,UID,Name,Best Pos,Age,Club,Division,Mins,Tgls/90,Tcon/90,Gls,Goals Outside Box,Shot/90,xG/shot,Shot %,ShT/90,Shots Outside Box/90,Gls/90,xG/90,NP-xG/90,xG-OP,Conv %,Ast,Asts/90,Ps A/90,Pas %,xA/90,OP-KP/90,Ch C/90,Drb/90,Pr passes/90,OP-Crs A/90,OP-Cr %,Crs A/90,Cr C/A,Tck A,Tck R,Pres A/90,Pres C/90,Poss Won/90,Poss Lost/90,K Tck/90,Int/90,Clr/90,Blk/90,Shts Blckd/90,Aer A/90,Hdr %,K Hdrs/90,Sprints/90,Dist/90,Gl Mst,Fls,FA,Yel,Red,Wage,Transfer Value
- - -,nEU,43315178,Junior Messias,AM (R),35,Genoa,Serie A TIM,"2,478",1.09,1.78,4,0,1.2,0.11,36%,0.44,0.65,0.15,0.13,0.13,0.41,12%,3,0.11,36.5,86%,0.17,1.31,0.44,1.63,2.72,1.96,13%,2.29,11%,72,72%,14.42,3.45,6.43,11.08,0.04,1.74,0.87,0.36,0.11,4.61,31%,0.04,11.69,13.1km,1,48,31,8,0,"£71,000 p/w",£110K - £1.1M
- - -,,37064578,Jurgen Ekkelenkamp,M (C),26,Udinese,Serie A TIM,"2,273",0.99,0.99,2,0,1.39,0.13,40%,0.55,0.71,0.08,0.18,0.12,-2.54,6%,5,0.2,38.13,82%,0.19,1.47,0.44,0.79,3.01,0.75,36%,0.99,31%,70,79%,14.1,3.6,7.6,9.42,0,1.7,0.91,0.28,0.2,5.5,46%,0.04,10.65,13.1km,0,33,25,6,0,"£25,000 p/w",£230K - £8.6M
- - -,,67295024,Pablo Gozálbez,AM (C),25,Arouca,Liga Portugal Betclic,"2,893",0.84,1.31,5,0,0.81,0.15,50%,0.4,0.34,0.16,0.12,0.12,0.99,19%,3,0.09,33.72,86%,0.09,0.93,0.44,1.56,1.52,0.87,10%,2.15,17%,64,80%,13.31,3.11,5.32,8.93,0.03,1.62,0.72,0.5,0.25,5.2,10%,0,9.18,13.4km,0,11,42,1,0,"£5,000 p/w",£190K - £1.9M
- - -,Int,57050464,Nicolae Stanciu,AM (C),33,Genoa,Serie A TIM,"2,280",0.99,1.54,0,0,0.79,0.1,40%,0.32,0.63,-,0.08,0.08,-1.93,-,6,0.24,40.03,86%,0.17,1.03,0.43,1.93,2.61,1.89,18%,4.78,25%,96,80%,13.14,2.92,6.08,12.39,0.08,1.7,0.51,0.36,0.08,4.26,13%,0,13.26,13.1km,0,32,43,1,0,"£29,000 p/w",Not for Sale
- - -,,43280475,Alessio Zerbin,AM (L),27,Cremonese,Serie A TIM,"1,247",0.94,1.08,3,1,1.01,0.21,64%,0.65,0.29,0.22,0.21,0.21,0.11,21%,1,0.07,26.42,89%,0.08,0.58,0.43,1.37,1.08,0.65,6%,1.15,11%,29,76%,11.33,2.74,5.41,7.65,0,1.37,0.65,0.29,0.07,7.87,16%,0,5.99,13.1km,0,14,11,0,0,"£15,250 p/w",£200K - £2M
- - -,,67173045,Isi Palazón,AM (R),31,Rayo Vallecano,LALIGA EA SPORTS,"3,124",1.24,1.7,8,3,1.5,0.12,42%,0.63,0.81,0.23,0.19,0.19,1.54,15%,4,0.12,29.79,81%,0.16,0.92,0.43,2.54,2.71,1.81,14%,3.66,6%,85,86%,14,3.23,6.65,12.47,0.03,2.56,0.72,0.4,0.06,5.82,19%,0.03,13.25,13.4km,0,27,77,4,0,"£23,000 p/w",Not for Sale
- - -,,55082206,Abdu Conté,D (L),28,Casa Pia,Liga Portugal Betclic,"1,880",1.53,1.58,0,0,0.24,0.06,20%,0.05,0.1,-,0.01,0.01,-0.3,-,2,0.1,53.38,90%,0.13,0.57,0.43,0.62,6.85,3.26,16%,5.36,7%,78,87%,7.37,1.68,10.34,8.71,0.34,2.63,1.1,0.67,0.19,3.64,75%,0.29,15.18,13.0km,0,16,4,2,0,"£12,000 p/w",£425K - £4.2M
- - -,Wnt,19319372,Lucas Soares,WB (R),28,Santa Clara,Liga Portugal Betclic,"2,718",1.49,1.59,2,1,0.86,0.09,42%,0.36,0.56,0.07,0.08,0.08,-0.37,8%,5,0.17,37.28,84%,0.18,1.23,0.43,2.58,4.74,6.29,9%,6.82,9%,115,77%,11.92,2.52,9.8,12.15,0.07,2.45,1.19,0.4,0.17,3.71,41%,0.07,13.68,13.6km,0,46,22,8,0,"£5,000 p/w",£210K - £2.1M
- - -,Wnt,2000062523,Pau Víctor,AM (R),24,Braga,Liga Portugal Betclic,"1,046",2.24,0.77,4,0,2.15,0.09,52%,1.12,1.03,0.34,0.2,0.2,1.73,16%,2,0.17,34.42,88%,0.22,1.2,0.43,1.81,2.84,1.89,14%,1.89,13%,21,81%,11.79,2.84,4.73,8.52,0,1.12,0.34,0.17,0,6.28,34%,0,9.64,12.7km,0,20,5,3,0,"£1,600 p/w",£1.1M
- - -,,67271371,Rodrigo Zalazar,AM (C),26,Braga,Liga Portugal Betclic,"3,139",1.86,0.75,5,2,2.35,0.09,37%,0.86,1.72,0.14,0.2,0.2,-2.11,6%,6,0.17,45.53,88%,0.24,1.38,0.43,2.24,3.61,1.49,22%,6.82,17%,94,78%,13.82,3.58,6.62,10.95,0.03,1.98,0.69,0.26,0.03,2.67,26%,0.03,9.23,13.0km,1,31,34,6,0,"£22,000 p/w",£4.7M - £6M
- - -,,91182849,Lazar Samardžić,M (C),24,Atalanta,Serie A TIM,"1,260",1.57,1.21,5,1,2.29,0.15,59%,1.36,1.29,0.36,0.34,0.29,0.22,16%,3,0.21,26.21,74%,0.23,1.29,0.43,1.29,2.07,1,26%,6.93,7%,24,71%,9.71,2.21,6.07,11.64,0,2.07,0.64,0.21,0.07,7.14,25%,0.07,10,13.9km,0,13,20,1,0,"£37,000 p/w",£9.8M - £12M
- - -,Lst,43295822,Nicolò Cambiaghi,AM (L),25,Bologna,Serie A TIM,"1,893",2,1.47,5,2,1.52,0.12,41%,0.62,0.62,0.24,0.19,0.19,1.09,16%,5,0.24,36.23,82%,0.19,1.66,0.43,2.28,2.04,1.81,21%,5.42,26%,40,85%,12.03,2.38,5.61,12.74,0,1.47,1.09,0.19,0.1,3.95,28%,0,14.55,13.9km,0,30,28,5,0,"£21,000 p/w",£4.7M
- - -,,2000013427,Tiago Morais,AM (L),22,Casa Pia,Liga Portugal Betclic,"1,893",1.71,1.81,9,0,1.47,0.15,52%,0.76,0.43,0.43,0.23,0.23,4.2,29%,4,0.19,42.12,87%,0.19,0.76,0.43,3.42,5.09,1.95,17%,2,17%,62,87%,12.12,3.47,6.42,11.03,0.1,1.71,0.57,0.43,0.24,3.23,28%,0,11.32,13.2km,0,44,30,7,1,"£7,500 p/w",£275K - £2.6M
- - -,nEU,14236223,Santiago Castro,ST (C),21,Bologna,Serie A TIM,"1,684",1.55,1.23,2,0,1.5,0.11,36%,0.53,0.69,0.11,0.17,0.17,-1.1,7%,2,0.11,24.16,84%,0.11,0.8,0.43,1.5,1.5,1.12,14%,1.12,14%,31,84%,6.95,1.71,3.95,7.11,0,0.91,0.16,0.16,0.05,5.45,24%,0.05,9.09,12.2km,0,18,24,3,0,"£18,000 p/w",£10.5M - £13.5M
- - -,,67277695,Pep Chavarría,D (L),28,Rayo Vallecano,LALIGA EA SPORTS,"2,963",1.03,1.49,0,0,0.3,0.08,20%,0.06,0.12,-,0.02,0.02,-0.81,-,5,0.15,40.19,85%,0.18,0.85,0.43,1.31,5.77,3.28,12%,4.04,12%,153,84%,10.66,3.16,13.67,11.54,0.24,2.28,1.7,0.85,0.36,4.8,68%,0.3,15.7,13.2km,2,34,9,8,0,"£6,500 p/w",£375K - £3.7M
- - -,,43591641,Tommaso Baldanzi,AM (C),23,Roma,Serie A TIM,"1,271",2.2,0.85,2,1,1.98,0.12,29%,0.57,1.27,0.14,0.23,0.23,-1.23,7%,4,0.28,30.94,83%,0.14,0.99,0.42,1.56,3.47,0.71,14%,1.56,20%,25,76%,8.71,2.41,5.17,8.64,0,1.49,0.14,0.28,0.21,4.6,8%,0.07,11.12,13.5km,0,12,17,0,0,"£38,000 p/w",£3.9M - £7.6M
- - -,,67213011,Carles Aleñá,M (C),28,Alavés,LALIGA EA SPORTS,"2,125",1.19,1.27,6,0,1.61,0.17,50%,0.8,0.97,0.25,0.27,0.17,-0.3,16%,2,0.08,46.8,83%,0.13,1.02,0.42,1.27,4.66,1.78,11%,5.76,7%,73,86%,11.22,3.01,6.78,13.3,0.17,1.44,0.59,0.38,0.17,3.9,47%,0.04,13.47,13.3km,0,29,24,3,0,"£12,000 p/w",£4.1M - £5.2M
- - -,Lst,19054339,Cassiano,ST (C),36,Casa Pia,Liga Portugal Betclic,"2,340",1.23,1.38,8,1,0.96,0.18,60%,0.58,0.19,0.31,0.18,0.15,3.43,32%,3,0.12,39.08,87%,0.11,0.85,0.42,1.15,1,0.27,25%,0.31,28%,34,68%,8.77,1.69,2.92,8.96,0.04,1.15,0.19,0.12,0,4.12,37%,0.04,5.12,12.2km,0,23,41,5,0,"£8,500 p/w",£50K
- - -,Hol,43201838,Christian Kouamé,AM (L),28,Fiorentina,Serie A TIM,"1,706",2.06,1.06,10,3,2.9,0.16,49%,1.42,1.21,0.53,0.47,0.43,1.1,18%,4,0.21,36.93,88%,0.19,1.16,0.42,3.96,2.43,2.16,10%,2.16,9%,50,82%,13.98,3.9,8.55,12.77,0.05,2.22,0.58,0.26,0,4.75,42%,0,12.92,13.5km,0,28,41,1,0,"£60,000 p/w",£14M - £18M
- - -,,2000183245,Martim Fernandes,D (R),20,Porto,Liga Portugal Betclic,"2,346",2.19,0.88,1,1,1.23,0.06,50%,0.61,0.88,0.04,0.08,0.08,-1.01,3%,4,0.15,53.44,88%,0.13,1.46,0.42,2.72,8.02,7.33,14%,7.33,13%,92,73%,8.98,2.84,13.96,13.16,0.15,2.88,0.81,0.73,0.12,4.64,51%,0.15,18.72,13.8km,0,21,12,6,0,"£6,000 p/w",£14M - £17M
- - -,,83262110,Abraham Marcus,AM (R),26,Estrela da Amadora SAD,Liga Portugal Betclic,"2,137",1.52,1.35,3,0,1.47,0.13,46%,0.67,0.63,0.13,0.19,0.19,-1.54,9%,6,0.25,43.97,89%,0.22,1.26,0.42,2.06,2.48,2.02,27%,2.99,27%,69,78%,11.2,3.16,5.39,10.74,0.08,1.26,0.51,0.13,0.04,4.04,28%,0,8.68,12.7km,1,23,29,5,0,"£3,000 p/w",£300K - £3M
- - -,,67224142,Santi Comesaña,M (C),29,Villarreal,LALIGA EA SPORTS,"2,362",1.71,1.26,1,0,1.6,0.09,45%,0.72,0.99,0.04,0.14,0.14,-2.66,2%,6,0.23,47.55,86%,0.14,0.84,0.42,0.57,5.68,0.46,8%,0.46,8%,111,68%,13.64,3.31,11.51,9.34,0.04,2.4,0.95,0.34,0.23,5.91,52%,0.38,12.65,13.3km,0,49,18,6,1,"£24,000 p/w",£6.2M - £9.6M
- - -,,67184140,Álvaro García,AM (L),33,Rayo Vallecano,LALIGA EA SPORTS,"3,018",1.1,1.58,6,0,1.28,0.16,44%,0.57,0.48,0.18,0.2,0.2,-0.86,14%,5,0.15,26.09,84%,0.16,0.86,0.42,2.83,2.45,5.13,7%,5.31,6%,112,80%,14.85,4.53,7.75,14.64,0,2.42,1.37,0.39,0.21,5.19,13%,0.03,10.44,13.3km,0,50,76,3,0,"£27,500 p/w",Not for Sale
- - B- -,,43270713,Riccardo Sottil,AM (L),26,Lecce,Serie A TIM,"3,020",0.98,1.25,9,2,1.82,0.17,57%,1.04,0.69,0.27,0.31,0.26,-1.28,15%,4,0.12,18.72,83%,0.1,0.63,0.42,1.13,0.69,0.98,4%,1.46,6%,57,82%,8.97,2.68,4.74,6.74,0,1.61,0.48,0.3,0.09,9,23%,0.06,6.53,12.5km,0,55,46,4,0,"£11,000 p/w",£2.2M - £3.2M
- - -,,37057370,Pablo Rosario,DM,29,Porto,Liga Portugal Betclic,"2,811",2.24,0.61,4,0,1.5,0.07,32%,0.48,1.02,0.13,0.11,0.11,0.63,9%,2,0.06,67.4,90%,0.15,1.7,0.42,0.96,8,0.35,38%,0.42,36%,91,80%,9.64,3.17,8.96,7.59,0.1,1.66,0.38,0.29,0.13,4.26,49%,0.42,12.1,13.2km,0,27,18,7,0,"£6,500 p/w",£11M - £16.5M
- - -,,2000218402,Telmo Coimbra,AM (C),20,Estrela da Amadora SAD,Liga Portugal Betclic,"1,947",1.71,1.25,4,2,1.39,0.12,47%,0.65,0.6,0.18,0.17,0.17,0.33,13%,1,0.05,37.35,89%,0.08,0.83,0.42,1.25,2.08,0.32,43%,0.32,42%,47,70%,7.4,1.57,5.18,7.26,0.05,1.48,0.6,0.23,0.14,4.07,52%,0.05,6.52,13.1km,2,16,27,2,0,"£1,200 p/w",£60K - £600K
- - -,,43371896,Daniel Maldini,AM (C),24,Atalanta,Serie A TIM,"2,170",2.07,0.87,12,1,2.49,0.16,55%,1.37,1.2,0.5,0.39,0.39,2.61,20%,9,0.37,22.85,82%,0.25,0.95,0.41,1.04,1.37,1.12,17%,6.88,18%,54,78%,8.54,1.91,4.6,9.87,0,1.04,0.54,0.04,0.04,8.38,23%,0.04,7.47,13.1km,0,28,36,1,0,"£39,000 p/w",£500K - £9.4M
- - -,,37059574,Calvin Stengs,AM (R),27,Pisa,Serie A TIM,"2,387",1.13,2.19,3,0,1.58,0.1,36%,0.57,0.9,0.11,0.16,0.16,-1.34,7%,6,0.23,35.44,81%,0.18,1.09,0.41,2.45,2.34,1.21,15%,4.71,18%,86,80%,15.01,3.62,7.62,13.08,0.04,2.04,0.9,0.75,0.3,4.98,36%,0.04,11.91,13.5km,0,17,52,0,0,"£47,000 p/w",£5.8M - £8.8M
- - -,,14217543,Facundo Cáseres,M (C),25,Gil Vicente,Liga Portugal Betclic,"2,174",1.28,1.57,0,0,1.24,0.07,40%,0.5,0.99,-,0.08,0.08,-2,-,6,0.25,49.47,89%,0.15,1.28,0.41,0.58,4.51,1.12,24%,1.2,25%,79,81%,13.16,3.23,8.4,7.53,0.04,2.15,0.91,0.5,0.25,4.02,22%,0.08,8.57,13.4km,0,27,27,7,1,"£5,000 p/w",£90K - £900K
- - -,,48044737,Maxence Caqueret,M (C),26,Como,Serie A TIM,"2,628",1.23,1.75,1,0,0.45,0.06,54%,0.24,0.41,0.03,0.03,0.03,0.17,8%,5,0.17,58.87,89%,0.16,1.23,0.41,0.82,6.61,0.72,21%,2.88,19%,79,71%,12.02,2.6,7.09,8.8,0.07,1.51,0.79,0.41,0.24,2.29,43%,0,12.57,13.6km,0,45,15,10,3,"£130,000 p/w",£7.2M - £8.8M
- - -,Wnt,12078989,Amadou Danté,D (L),25,Arouca,Liga Portugal Betclic,"2,191",1.15,1.19,3,0,0.53,0.09,62%,0.33,0.37,0.12,0.05,0.05,1.84,23%,3,0.12,37.13,84%,0.2,1.11,0.41,2.09,2.92,7.11,10%,7.15,9%,115,89%,14.66,3.41,12.41,13.68,0.08,3.7,1.93,0.9,0.04,4.07,51%,0.29,11.34,13.4km,0,17,30,2,0,"£6,000 p/w",£2.8M - £5.8M
- - -,,2000115189,Mohamed Anas Haj,AM (R),21,Parma,Serie A TIM,"1,321",1.29,1.16,2,0,1.29,0.12,37%,0.48,0.55,0.14,0.15,0.15,-0.19,11%,1,0.07,32.98,88%,0.13,1.29,0.41,2.04,1.64,1.91,24%,2.32,25%,27,59%,10.83,2.18,5.04,10.02,0,1.57,0.75,0.2,0.07,4.56,18%,0,9.13,13.5km,0,10,20,1,0,"£4,000 p/w",£2.7M - £5.6M
- - -,,67199309,Javi Muñoz,M (C),31,Getafe,LALIGA EA SPORTS,"2,655",0.98,1.83,4,1,0.81,0.16,50%,0.41,0.34,0.14,0.13,0.13,0.05,17%,7,0.24,39.08,82%,0.11,0.81,0.41,1.46,3.49,0.92,12%,2.58,11%,110,73%,12.37,2.75,7.49,11.32,0.1,1.73,0.85,0.14,0.07,4.07,21%,0.14,12.17,13.6km,1,37,41,6,0,"£13,500 p/w",£1.4M - £2.9M
- - -,,67272744,Antonio Sánchez,M (C),28,Mallorca,LALIGA EA SPORTS,"1,549",1.92,1.45,3,1,1.05,0.07,39%,0.41,0.64,0.17,0.07,0.07,1.76,17%,2,0.12,45.78,83%,0.09,1.1,0.41,1.8,4.59,3.02,11%,3.08,9%,69,81%,13.94,3.66,10.81,13.65,0.12,2.67,0.99,0.23,0.06,6.04,43%,0.12,18.3,14.5km,0,28,21,5,0,"£16,000 p/w",£12K - £5.6M
- - -,Inj,96114107,Adrian Benedyczak,ST (C),25,Parma,Serie A TIM,"1,549",0.7,1.92,3,0,1.68,0.15,55%,0.93,0.64,0.17,0.25,0.16,-1.38,10%,2,0.12,29.81,85%,0.16,0.93,0.41,1.16,1.8,2.61,22%,2.61,22%,75,92%,14.58,4.71,7.5,12.26,0,2.27,0.81,0.23,0,6.28,36%,0.12,13.01,12.8km,0,19,29,1,0,"£15,000 p/w",£350K - £3.5M
- - -,,19350600,Wendel,ST (C),25,Santa Clara,Liga Portugal Betclic,"2,684",2.05,1.34,18,2,2.75,0.19,48%,1.31,0.74,0.6,0.54,0.51,2.02,22%,7,0.23,21.96,83%,0.14,0.91,0.4,1.07,0.8,0.74,9%,0.74,9%,45,71%,7.08,1.51,4.02,6.57,0,0.7,0.17,0.03,0.03,10.73,38%,0,4.63,12.0km,1,44,37,1,0,"£5,000 p/w",£350K - £3.6M
- - -,,85145172,Armand Laurienté,AM (L),27,Sassuolo,Serie A TIM,"2,463",0.66,1.13,3,0,1.53,0.12,50%,0.77,0.73,0.11,0.19,0.19,-2.18,7%,3,0.11,31.1,82%,0.18,0.99,0.4,2.96,2.48,4.02,18%,8.29,13%,97,82%,17.17,3.91,7.24,14.8,0.07,2.38,0.66,0.51,0.11,5.41,11%,0,15.02,13.5km,2,27,53,6,0,"£19,000 p/w",£4.6M - £7M
- - -,,67263766,Sergio Carreira,D (R),25,Celta Vigo,LALIGA EA SPORTS,"2,922",1.11,1.39,2,1,0.28,0.16,44%,0.12,0.18,0.06,0.04,0.04,0.56,22%,6,0.18,35.27,87%,0.16,1.08,0.4,3.54,2.83,6.5,13%,6.59,12%,106,80%,12.23,2.8,8.81,14.32,0.09,2.46,1.48,0.55,0.12,3.17,37%,0.12,13.34,13.4km,1,18,54,1,0,"£10,000 p/w",£375K - £7.6M
- - -,,83228312,Nilton Varela,D (L),25,Estrela da Amadora SAD,Liga Portugal Betclic,"2,044",1.19,2.03,0,0,0.4,0.07,22%,0.09,0.18,-,0.03,0.03,-0.67,-,5,0.22,54.25,90%,0.13,1.01,0.4,1.06,7.71,2.6,15%,2.99,15%,111,82%,9.25,2.6,11.36,9.25,0.18,2.47,2.16,0.79,0.22,3.52,66%,0.18,11.67,12.9km,2,46,14,9,1,"£2,500 p/w",£220K - £2.2M
- - -,,43425611,Gaetano Oristanio,ST (C),23,Parma,Serie A TIM,"2,279",1.03,1.54,4,0,1.42,0.21,53%,0.75,0.59,0.16,0.3,0.3,-3.66,11%,4,0.16,29.03,84%,0.13,0.99,0.39,1.62,1.74,0.95,9%,1.34,8%,49,71%,10.43,2.53,5.09,8.69,0.08,1.86,0.91,0.12,0.08,3.95,11%,0,9.24,13.7km,0,22,31,3,0,"£4,600 p/w",£375K - £3.7M
- - -,Hol,2000108547,Amir Richardson,M (C),24,Fiorentina,Serie A TIM,"1,368",1.25,0.92,0,0,1.64,0.09,28%,0.46,1.05,-,0.16,0.16,-2.36,-,2,0.13,55.66,89%,0.22,1.84,0.39,0.66,4.01,0.46,29%,0.46,28%,33,79%,10.92,3.62,8.03,8.62,0.07,0.99,0.59,0.26,0.2,5.59,69%,0.92,11.45,13.2km,1,13,15,3,0,"£43,000 p/w",£4.4M - £5M
- - -,,43162020,Leonardo Sernicola,D (R),28,Cremonese,Serie A TIM,"2,283",0.99,1.5,3,0,0.71,0.13,50%,0.35,0.28,0.12,0.09,0.09,0.62,17%,6,0.24,37.81,83%,0.13,1.18,0.39,2.05,3.51,5.44,15%,5.8,15%,107,77%,13.96,3.51,11.79,13.25,0.08,3.07,1.18,0.79,0.39,4.18,49%,0.2,13.68,13.4km,0,53,23,11,0,"£2,400 p/w",£425K - £4.3M
- - -,Wnt,83137942,Ghislain Konan,D (L),30,Gil Vicente,Liga Portugal Betclic,"1,371",1.05,1.31,0,0,0.85,0.06,62%,0.53,0.59,-,0.05,0.05,-0.75,-,3,0.2,41.23,82%,0.17,1.9,0.39,1.9,4.46,7.75,18%,9.06,16%,48,79%,12.34,2.56,12.34,14.38,0.13,2.95,1.18,0.33,0,4.73,57%,0.26,14.05,14.0km,0,17,12,4,0,"£2,600 p/w",£375K - £3.7M
- - -,,67063051,Kiko Femenía,D (R),35,Getafe,LALIGA EA SPORTS,"2,062",0.74,1.7,1,0,0.39,0.09,44%,0.17,0.22,0.04,0.04,0.04,0.18,11%,1,0.04,32.12,83%,0.07,0.83,0.39,1.35,3.49,3.93,10%,3.93,10%,89,82%,9.73,2.49,11.96,12.18,0.13,2.44,1.96,0.39,0.26,3.75,47%,0.17,15.8,13.2km,0,28,16,8,0,"£19,000 p/w",£14K - £140K
- - -,,48033598,Lenny Vallier,M (L),27,Nacional,Liga Portugal Betclic,"1,375",0.98,1.96,0,0,0.13,0.07,0%,0,0.07,-,0.01,0.01,-0.15,-,0,-,44.71,90%,0.08,0.79,0.39,1.31,4.65,3.14,15%,3.14,14%,72,82%,9.16,2.29,12.11,8.84,0.13,2.29,2.29,0.39,0.13,4.39,51%,0.07,9.95,12.9km,0,17,5,3,0,"£1,000 p/w",£75K - £750K
- - -,,67259880,Rodrigo Riquelme,AM (L),26,Real Betis,LALIGA EA SPORTS,"2,752",1.01,1.08,2,1,1.08,0.1,39%,0.43,0.59,0.07,0.11,0.11,-1.43,6%,2,0.07,39.51,84%,0.14,0.98,0.39,2.78,2.81,2.26,21%,2.62,23%,81,81%,14.23,3.6,6.54,14.72,0,1.57,0.65,0.26,0.13,3.83,18%,0.03,12.17,12.8km,0,33,57,5,0,"£10,000 p/w",£10M - £16M
- - -,Wnt,67256097,Jesús Areso,D (R),26,Athletic Club,LALIGA EA SPORTS,"2,078",1.65,1.13,3,1,0.3,0.16,57%,0.17,0.13,0.13,0.05,0.05,1.91,43%,2,0.09,56.26,89%,0.14,0.91,0.39,1.6,7.1,1.69,13%,1.69,12%,88,85%,11.04,3.12,13.04,9.05,0.13,2.47,1.17,0.52,0.39,5.37,55%,0.3,13.38,13.9km,1,10,13,3,0,"£6,500 p/w",£9.8M - £12M
- - -,Wnt,78066692,Alfonso Espino,D (L),34,Rayo Vallecano,LALIGA EA SPORTS,"1,389",1.56,1.62,0,0,0.52,0.09,50%,0.26,0.32,-,0.05,0.05,-0.75,-,3,0.19,39.91,87%,0.15,0.84,0.39,1.43,6.16,3.11,17%,3.43,16%,65,82%,10.37,3.37,12.96,9.27,0.06,2.53,1.17,0.78,0.13,3.11,23%,0.13,14.58,13.6km,0,22,3,5,0,"£11,000 p/w",£160K
- - -,Wnt,24046418,Nikola Moro,M (C),28,Bologna,Serie A TIM,"2,317",1.71,1.44,5,0,2.21,0.09,33%,0.74,1.67,0.19,0.21,0.18,-0.38,9%,8,0.31,55.43,89%,0.19,1.28,0.39,1.09,5.21,0.82,20%,1.59,33%,69,81%,10.8,2.95,6.64,8.27,0.08,1.55,0.54,0.35,0.16,3.22,51%,0.08,17.32,14.0km,0,27,17,5,0,"£24,000 p/w",£4.3M
- - -,Inj,75037990,Gabriel Suazo,D (L),28,Sevilla,LALIGA EA SPORTS,"1,627",1.66,1.44,1,0,0.5,0.08,56%,0.28,0.44,0.06,0.04,0.04,0.28,11%,3,0.17,48.18,85%,0.21,0.83,0.39,1.38,7.52,2.1,25%,7.03,13%,77,83%,9.85,3.32,13.66,11.56,0.17,2.66,1.33,0.77,0.39,5.48,70%,0.33,16.93,13.7km,1,23,7,5,0,"£11,500 p/w",£375K - £3.8M
- - -,Wnt,67191561,Luis Milla,M (C),31,Getafe,LALIGA EA SPORTS,"2,557",0.81,1.83,2,0,1.2,0.1,35%,0.42,0.92,0.07,0.12,0.09,-1.38,6%,4,0.14,46.32,87%,0.15,1.09,0.39,1.27,4.01,0.49,15%,3.87,28%,99,83%,11.58,2.85,9.29,9.93,0.14,1.76,1.13,0.35,0.28,3.2,35%,0.11,13.52,13.6km,0,41,20,10,0,"£15,000 p/w",£1.5M - £3.2M
- - -,,67144651,Jonny,D (R),32,Alavés,LALIGA EA SPORTS,"1,639",1.32,1.37,0,0,0.22,0.06,0%,0,0.22,-,0.01,0.01,-0.23,-,2,0.11,46.78,89%,0.15,1.1,0.38,0.44,7.36,2.86,23%,2.86,23%,77,86%,8.84,2.31,10.21,8.07,0.05,1.7,1.32,0.88,0.6,3.68,54%,0.16,12.46,12.9km,0,26,3,6,0,"£22,500 p/w",£70K - £700K
- - -,Wnt,2000048260,Alberto Costa,D (R),22,Porto,Liga Portugal Betclic,"1,875",2.06,0.82,1,0,1.06,0.07,23%,0.24,0.67,0.05,0.07,0.07,-0.47,5%,3,0.14,55.58,89%,0.13,1.82,0.38,1.92,9.31,4.03,21%,4.03,21%,79,84%,9.36,3.36,14.35,10.51,0.1,3.12,0.86,0.72,0.24,5.95,62%,0.1,14.35,13.7km,1,27,10,6,0,"£18,500 p/w",£275K - £2.7M
- - -,,83228738,Hevertton,D (R),25,Gil Vicente,Liga Portugal Betclic,"1,644",1.04,1.86,1,0,0.49,0.13,33%,0.16,0.16,0.05,0.06,0.06,-0.15,11%,3,0.16,45.49,83%,0.1,0.82,0.38,0.77,4.43,3.78,12%,4.65,10%,40,85%,11.28,3.23,10.18,12.7,0.22,1.97,1.81,0.66,0.33,5.42,63%,0.22,10.46,12.7km,0,17,7,4,0,"£2,500 p/w",£275K - £2.7M
- - -,Inj,83228786,Tomás Esteves,D (R),24,Pisa,Serie A TIM,"1,663",0.87,1.73,1,1,0.65,0.11,33%,0.22,0.43,0.05,0.07,0.07,-0.27,8%,2,0.11,36.91,83%,0.23,1.19,0.38,2.54,5.09,4.92,15%,4.92,15%,76,80%,11.74,2.87,12.45,13.42,0.22,2.98,1.52,0.43,0.11,5.03,68%,0.6,12.83,13.5km,0,24,23,5,0,"£2,300 p/w",£210K - £2.1M
- - -,,86047272,Yangel Herrera,M (C),28,Real Sociedad,LALIGA EA SPORTS,"1,910",2.12,1.41,3,0,1.08,0.09,39%,0.42,0.42,0.14,0.1,0.1,0.86,13%,5,0.24,53.29,87%,0.12,1.51,0.38,0.94,5.51,0.71,27%,0.71,26%,67,70%,12.11,3.49,9.24,9.9,0.05,2.21,0.71,0.24,0.14,5.8,46%,0.24,10.18,13.5km,0,40,18,9,0,"£21,000 p/w",£11.5M - £18M
- - -,Wnt,67258577,Miguel Baeza,AM (C),26,Nacional,Liga Portugal Betclic,"2,867",0.69,1.57,1,1,1.26,0.07,43%,0.53,0.91,0.03,0.08,0.08,-1.61,3%,2,0.06,39.52,85%,0.08,0.78,0.38,1.66,2.17,0.5,24%,1.29,25%,49,76%,7.44,1.63,6,9.39,0.03,1.85,0.91,0.28,0.06,5.87,53%,0.16,4.46,12.5km,1,15,39,2,0,"£9,000 p/w",£2.5M - £5.2M
- - -,,43297394,Antonino Gallo,D (L),26,Lecce,Serie A TIM,"2,872",1.1,1.16,1,0,0.38,0.08,42%,0.16,0.22,0.03,0.03,0.03,0,8%,5,0.16,37.89,83%,0.18,1,0.38,2.29,3.7,6.02,10%,7.55,8%,133,81%,13.69,3.13,11.78,14.26,0.13,3.48,1.19,0.5,0.13,3.67,48%,0.09,13.29,13.6km,2,31,32,6,0,"£18,000 p/w",£300K - £8.4M
